config,n_scenarios,ndcg10_mean,hit10_rate,mrr_mean,req_coverage_5_mean,req_coverage_10_mean,scenario_complete_10_rate,regime_error_rate,authority_top1_ok_rate,strict_recall_10_mean,strict_scenario_complete_10_rate,strict_mrr_mean,scope
A_lexical,60,0.7213,0.85,0.3201,0.3917,0.55,0.5167,0.15,0.3,0.05,0.0333,0.0524,standalone_static_benchmark
B_dense,60,0.8428,0.9667,0.5798,0.65,0.7083,0.6333,0.5167,0.75,0.1083,0.05,0.1653,standalone_static_benchmark
C_hybrid,60,0.8152,0.9667,0.6091,0.6722,0.7778,0.7,0.4167,0.8,0.125,0.0667,0.1709,standalone_static_benchmark
D_hybrid_priors,60,0.833,0.95,0.6118,0.7139,0.7611,0.6833,0.1667,0.6667,0.2139,0.1167,0.2409,standalone_static_benchmark
E_hybrid_graph,60,0.7803,0.9833,0.502,0.6389,0.7472,0.65,0.3833,0.9167,0.1389,0.0667,0.1955,standalone_static_benchmark
F_two_lane,60,0.81,0.9333,0.6172,0.6917,0.7694,0.7,0.1667,0.3667,0.2639,0.1333,0.1898,standalone_static_benchmark
hybrid,37,0.475,0.973,0.1405,,0.2297,0.1892,,,,,,matched_dev
legal_static,37,0.4862,0.973,0.6158,,0.7162,0.7027,,,,,,matched_dev
planned_multisearch,37,0.5099,0.973,0.6624,,0.8108,0.7838,,,,,,matched_dev
adaptive,37,0.5516,1,0.6396,,0.7162,0.7027,,,,,,matched_dev
hybrid,17,0.5207,0.9412,0.2059,,0.1471,0.0588,,,,,,matched_test_frozen
legal_static,17,0.4164,0.8824,0.3971,,0.5588,0.5294,,,,,,matched_test_frozen
planned_multisearch,17,0.4707,1,0.473,,0.7059,0.6471,,,,,,matched_test_frozen
adaptive,17,0.5506,0.9412,0.5902,,0.7353,0.7059,,,,,,matched_test_frozen
