metric,system_a,system_b,delta,ci95,wins,ties,losses,n,exact_two_sided_sign_p,scope
req_coverage_10,A_lexical,B_dense,-0.1583,"[-0.3083, -0.0083]",8,33,19,60,0.052238985896110535,standalone_static_benchmark
req_coverage_10,A_lexical,C_hybrid,-0.2278,"[-0.35, -0.1083]",3,37,20,60,0.00048828125,standalone_static_benchmark
req_coverage_10,A_lexical,D_hybrid_priors,-0.2111,"[-0.3222, -0.1028]",2,40,18,60,0.0004024505615234375,standalone_static_benchmark
req_coverage_10,A_lexical,E_hybrid_graph,-0.1972,"[-0.3, -0.1]",2,40,18,60,0.0004024505615234375,standalone_static_benchmark
req_coverage_10,A_lexical,F_two_lane,-0.2194,"[-0.3361, -0.1083]",3,39,18,60,0.0014896392822265625,standalone_static_benchmark
req_coverage_10,B_dense,C_hybrid,-0.0694,"[-0.1611, 0.0167]",2,50,8,60,0.109375,standalone_static_benchmark
req_coverage_10,B_dense,D_hybrid_priors,-0.0528,"[-0.1694, 0.0611]",5,45,10,60,0.3017578125,standalone_static_benchmark
req_coverage_10,B_dense,E_hybrid_graph,-0.0389,"[-0.1444, 0.0694]",6,45,9,60,0.60723876953125,standalone_static_benchmark
req_coverage_10,B_dense,F_two_lane,-0.0611,"[-0.175, 0.0556]",6,42,12,60,0.237884521484375,standalone_static_benchmark
req_coverage_10,C_hybrid,D_hybrid_priors,0.0167,"[-0.0583, 0.1]",5,51,4,60,1.0,standalone_static_benchmark
req_coverage_10,C_hybrid,E_hybrid_graph,0.0306,"[-0.0278, 0.0972]",4,55,1,60,0.375,standalone_static_benchmark
req_coverage_10,C_hybrid,F_two_lane,0.0083,"[-0.075, 0.1]",6,48,6,60,1.0,standalone_static_benchmark
req_coverage_10,D_hybrid_priors,E_hybrid_graph,0.0139,"[-0.0778, 0.1028]",7,48,5,60,0.7744140625,standalone_static_benchmark
req_coverage_10,D_hybrid_priors,F_two_lane,-0.0083,"[-0.0667, 0.05]",2,55,3,60,1.0,standalone_static_benchmark
req_coverage_10,E_hybrid_graph,F_two_lane,-0.0222,"[-0.1, 0.0583]",5,47,8,60,0.5810546875,standalone_static_benchmark
requirement_coverage,hybrid,legal_static,-0.4865,"[-0.6486, -0.3108]",1,15,21,37,1.0967254638671875e-05,matched_dev
requirement_coverage,hybrid,planned_multisearch,-0.5811,"[-0.7297, -0.4324]",0,13,24,37,1.1920928955078125e-07,matched_dev
requirement_coverage,hybrid,adaptive,-0.4865,"[-0.6486, -0.3108]",1,15,21,37,1.0967254638671875e-05,matched_dev
requirement_coverage,legal_static,planned_multisearch,-0.0946,"[-0.2162, 0.027]",1,31,5,37,0.21875,matched_dev
requirement_coverage,legal_static,adaptive,0.0,"[-0.1351, 0.1351]",3,31,3,37,1.0,matched_dev
requirement_coverage,planned_multisearch,adaptive,0.0946,"[0.0, 0.2162]",4,32,1,37,0.375,matched_dev
requirement_coverage,hybrid,legal_static,-0.4118,"[-0.6471, -0.1765]",1,7,9,17,0.021484375,matched_test_frozen
requirement_coverage,hybrid,planned_multisearch,-0.5588,"[-0.7647, -0.3529]",0,6,11,17,0.0009765625,matched_test_frozen
requirement_coverage,hybrid,adaptive,-0.5882,"[-0.7941, -0.3824]",0,5,12,17,0.00048828125,matched_test_frozen
requirement_coverage,legal_static,planned_multisearch,-0.1471,"[-0.3824, 0.0882]",2,10,5,17,0.453125,matched_test_frozen
requirement_coverage,legal_static,adaptive,-0.1765,"[-0.3529, -0.0294]",0,13,4,17,0.125,matched_test_frozen
requirement_coverage,planned_multisearch,adaptive,-0.0294,"[-0.2647, 0.2059]",2,11,4,17,0.6875,matched_test_frozen
